model,lr,seed,molecule,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_small,e5,s42,HLA-DPB1~05:01_HLA-DPA1~02:02,0.8395211360405834,0.9141300905938626,0.7743661970619119,0.7328459793294682,0.4849200371790173,5
esm3_small,e5,s42,HLA-DQB1~02:01_HLA-DQA1~05:01,0.8409774218602871,0.8971950655919478,0.7779303483063104,0.7031798245614035,0.3876636761227109,5
esm3_small,e5,s42,HLA-DQB1~03:01_HLA-DQA1~02:01,0.722435296324081,0.7340506712894476,0.7103272069497553,0.6363128491620111,0.2901394426474342,5
esm3_small,e5,s42,HLA-DQB1~03:01_HLA-DQA1~03:01,0.8630252100840335,0.8465659505231088,0.7412735720281576,0.7710526315789474,0.5483698333595866,5
esm3_small,e5,s42,HLA-DQB1~03:01_HLA-DQA1~05:01,0.7594344145752736,0.8193836763861316,0.7521337291056283,0.6561438561438562,0.2526585845461148,5
esm3_small,e5,s42,HLA-DQB1~03:02_HLA-DQA1~03:01,0.6607700398932808,0.6262007246530064,0.5446595096033391,0.6158661295320732,0.2202375780753528,5
esm3_small,e5,s42,HLA-DQB1~03:02_HLA-DQA1~05:01,0.7658338712633784,0.6226958187116723,0.5516283263626027,0.6931506849315069,0.33672510455135224,5
esm3_small,e5,s42,HLA-DQB1~03:03_HLA-DQA1~02:01,0.8539957901425792,0.8155623987524159,0.7127934370969629,0.7573033707865169,0.5212383400581174,5
esm3_small,e5,s42,HLA-DQB1~03:03_HLA-DQA1~05:01,0.8562645687645688,0.8308534780725033,0.7561209781160415,0.7623574144486692,0.5347424397434052,5
esm3_small,e5,s42,HLA-DQB1~04:02_HLA-DQA1~02:01,0.8650572213416101,0.8291260288204125,0.6734636042619553,0.7678062678062678,0.534496725189961,5
esm3_small,e5,s42,HLA-DQB1~04:02_HLA-DQA1~03:03,0.7446203280906477,0.5391716666604431,0.5831443929205122,0.6493358633776092,0.35067923163947917,5
esm3_small,e5,s42,HLA-DQB1~04:02_HLA-DQA1~05:01,0.8427038004061502,0.8712190607587514,0.6662639252058441,0.7059506531204645,0.4831650745571719,5
esm3_small,e5,s42,HLA-DQB1~04:02_HLA-DQA1~06:01,0.8457062204536951,0.6912676613172211,0.6400916295254824,0.6860952380952381,0.45924972701344463,5
esm3_small,e5,s42,HLA-DQB1~05:01_HLA-DQA1~01:01,0.7309023948133159,0.47789168327689646,0.46764149324183135,0.7093953488372093,0.284969015867533,5
esm3_small,e5,s42,HLA-DQB1~05:01_HLA-DQA1~01:02,0.6694492024829103,0.7438184458986408,0.5315285775987437,0.5548563611491109,0.19172582003430247,5
esm3_small,e5,s42,HLA-DQB1~05:02_HLA-DQA1~01:02,0.7602469135802469,0.6599276937026046,0.5602964768516586,0.6726190476190477,0.33545454833483623,5
esm3_small,e5,s42,HLA-DQB1~05:03_HLA-DQA1~01:04,0.6674529914529914,0.4715022461329683,0.47412104400394284,0.6275449101796406,0.20315464464736316,5
esm3_small,e5,s42,HLA-DQB1~06:02_HLA-DQA1~01:02,0.6843259350297071,0.5664846912691291,0.4691316085842746,0.6670339761248852,0.24410465384441463,5
esm3_small,e5,s42,HLA-DQB1~06:03_HLA-DQA1~01:03,0.7987688951223313,0.4950603302426465,0.534087577051795,0.7412639405204461,0.381821249976365,5
esm3_small,e5,s42,HLA-DRB1~01:01_HLA-DRA~01:01,0.7400953002173802,0.8799449716438079,0.8674484237065279,0.7816083325513746,0.3122252303618137,5
esm3_small,e5,s42,HLA-DRB1~03:01_HLA-DRA~01:01,0.7330021908779134,0.7224698302707718,0.6560913998969187,0.6602217936354869,0.3295687400885533,5
