model,lr,stratum,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
esmc_medium,e5,"9-mer overlap, not exact",0.9261176199435374,0.00042981939505384273,0.9839423152132163,4.288271349764922e-05,0.9338877857795341,0.001464418010188265,0.8899015954905894,0.001943143118864813,0.6052312198448212,0.0010402163784849166,3.0,s100|s128|s42,
esmc_medium,e5,>=1 9-mer overlap,0.9133090928083353,0.0016854348770729305,0.9298364204446786,0.0014229254636614474,0.8378298472004005,0.0022153643900350317,0.8284837522802461,0.002672317567676258,0.6565971644990171,0.005253264154440901,3.0,s100|s128|s42,
esmc_medium,e5,Exact 15-mer match,0.9013984312564519,0.002322412982126148,0.9032561487914127,0.0023582267863932007,0.8049610287822023,0.0031783479961254827,0.8166270126708349,0.0034152907326439517,0.6328763288931178,0.006437110195097706,3.0,s100|s128|s42,
esmc_medium,e5,No 9-mer overlap,0.8752842655619126,0.003897261490281453,0.9958389271181268,0.0001494354752906473,0.960849148673485,0.0022772070511316513,0.9257077276205051,0.004111003100844594,0.2636049734808638,0.0073519896976440985,3.0,s100|s128|s42,
esmc_medium,e5,Overall,0.9214219975125341,0.0012666344190565037,0.9462958576689532,0.0008894592672803706,0.8598201438632822,0.0017748839966623736,0.8389959739686742,0.0022300720547264,0.671604126793223,0.0046164343462958835,3.0,s100|s128|s42,
esmc_small,e5,"9-mer overlap, not exact",0.926183994207337,0.0030126458016943615,0.9841541528973168,0.0007267913757739744,0.9323174044551328,0.0017091677545642266,0.8877042132416165,0.0028332882444843605,0.6032850201482528,0.01069168007735192,3.0,s100|s128|s42,
esmc_small,e5,>=1 9-mer overlap,0.9111593807279563,0.002216314295772017,0.9280660894680636,0.0017709016709181041,0.8368128385901255,0.002080793438917266,0.8272547382741241,0.003599421046932852,0.6538789790641416,0.007586064969747807,3.0,s100|s128|s42,
esmc_small,e5,Exact 15-mer match,0.8992396164100315,0.002531090827862125,0.9010937560370302,0.0024468747254297075,0.8043510970897024,0.0023238562658432827,0.8155849425478153,0.004136255958081207,0.6306041962397212,0.007889265220710885,3.0,s100|s128|s42,
esmc_small,e5,No 9-mer overlap,0.8750828473264544,0.004961129979018449,0.9957953559728284,0.00021432864642889136,0.9588301352606705,0.0017271006252108068,0.922022443254272,0.003126752339121645,0.2645778841089185,0.004500704579903578,3.0,s100|s128|s42,
esmc_small,e5,Overall,0.9192562871217403,0.0018359761307504955,0.9447623795861896,0.0012305943555381135,0.8585667504378528,0.0015082162515183781,0.8375013787778512,0.002883894746357135,0.6683183620404204,0.006910191594865146,3.0,s100|s128|s42,
netmhcpan,,Overall,0.8383539428172966,,0.8982639118216692,,,,,,,,,,48175.0
netmhcpan,,No 9-mer overlap,0.9258460847063257,,0.9977890213375962,,,,,,,,,,5172.0
netmhcpan,,>=1 9-mer overlap,0.8156219647827514,,0.8628387591835505,,,,,,,,,,43003.0
netmhcpan,,Exact 15-mer match,0.7910989312727923,,0.810698079360019,,,,,,,,,,36111.0
netmhcpan,,"9-mer overlap, not exact",0.8920240966444513,,0.9780013742929613,,,,,,,,,,6892.0
mixmhcpred,,Overall,0.8154775545553843,,0.8816641361283404,,,,,,,,,,48351.0
mixmhcpred,,No 9-mer overlap,0.9141475203235144,,0.9973525828615447,,,,,,,,,,5227.0
mixmhcpred,,>=1 9-mer overlap,0.7898358097573156,,0.8403675540197602,,,,,,,,,,43124.0
mixmhcpred,,Exact 15-mer match,0.7611529644095807,,0.7787146187104639,,,,,,,,,,36146.0
mixmhcpred,,"9-mer overlap, not exact",0.8753986907157144,,0.973390287175265,,,,,,,,,,6978.0
