model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
chai,e5,s128,>=1 9-mer overlap,0.9053064857554738,0.9227573821277936,0.8306964049682112,0.8200769872924589,0.6394750931451432,5
chai,e5,s128,Exact 15-mer match,0.8940614520010387,0.8956830209441964,0.7992600528451363,0.8093398992972943,0.6186019252569521,5
chai,e5,s128,No 9-mer overlap,0.8604290706883851,0.9949864385136798,0.956303771412992,0.9175592960979342,0.273084741654524,5
chai,e5,s128,Overall,0.9135372650734712,0.9402401835510903,0.8529516985498828,0.8306171409662475,0.6540520459885849,5
chai,e5,s42,"9-mer overlap, not exact",0.9205283134210541,0.9826483023725189,0.9295637694402934,0.8830897105187733,0.5862369424416807,5
chai,e5,s42,>=1 9-mer overlap,0.9063153254919414,0.9236198986463148,0.8337087463993186,0.8211807810036176,0.6408815791288272,5
chai,e5,s42,Exact 15-mer match,0.8946850494570304,0.8961435506616328,0.8017894839696822,0.8092292369833454,0.6186682032214332,5
chai,e5,s42,No 9-mer overlap,0.877876302249201,0.9959728402751425,0.9599484840908856,0.9240627390971691,0.265765001364547,5
chai,e5,s42,Overall,0.9146324500340535,0.9412050823094187,0.8559467232580447,0.8323047650562542,0.6557465595866678,5
deepneo,e3,s100,"9-mer overlap, not exact",0.9101328890273243,0.9797599662603383,0.9228594620755267,0.8735332090087505,0.5756776167384949,5
deepneo,e3,s100,>=1 9-mer overlap,0.8813794978479936,0.9035113881161246,0.807542586676427,0.7959476015455659,0.5907804235251589,5
deepneo,e3,s100,Exact 15-mer match,0.865152490420216,0.8678929165862419,0.7682849042691545,0.7807008147041412,0.56041553847907,5
deepneo,e3,s100,No 9-mer overlap,0.867887739778667,0.9950052594700928,0.9606950352549688,0.9254308693986978,0.279800993278343,5
deepneo,e3,s100,Overall,0.8937600760717416,0.9267506903352031,0.835180107941555,0.8101330088532708,0.6118479472448433,5
deepneo,e3,s128,"9-mer overlap, not exact",0.9014364462202364,0.9775539112632785,0.9234362083228635,0.8730741643953521,0.5530393960468987,5
deepneo,e3,s128,>=1 9-mer overlap,0.8812069612291555,0.9030359409555704,0.8114496374207929,0.7950287437564791,0.5875546548245847,5
deepneo,e3,s128,Exact 15-mer match,0.8663049569137062,0.8684706281819062,0.774013845789624,0.7796915964254503,0.5600139993547042,5
deepneo,e3,s128,No 9-mer overlap,0.8573733576585514,0.9945332333275105,0.9642424035013608,0.9319034852546917,0.29082015420695717,5
deepneo,e3,s128,Overall,0.8930974114151505,0.9259434596782967,0.8385445801920313,0.8100239164184113,0.6081690348549413,5
deepneo,e3,s42,"9-mer overlap, not exact",0.907052418084436,0.9790750131906567,0.9219416208174284,0.8713814373834458,0.5585709709172942,5
deepneo,e3,s42,>=1 9-mer overlap,0.8845472933041826,0.9062773893041364,0.8128525917371775,0.7986570540005655,0.5955489596251614,5
deepneo,e3,s42,Exact 15-mer match,0.8697315128313979,0.8726037811993687,0.7761737988625921,0.7843655738167057,0.5688565921602939,5
deepneo,e3,s42,No 9-mer overlap,0.8565869869518512,0.9944593194054969,0.9615920929320817,0.9270394484871696,0.2749477902205187,5
deepneo,e3,s42,Overall,0.8959906339516662,0.9284055042229445,0.8394034446296118,0.8127218562497378,0.6152766487811251,5
esm3_large,e5,s100,"9-mer overlap, not exact",0.9385534367228722,0.9866391812566585,0.9405684452810771,0.9010891372886214,0.6461991327734757,5
esm3_large,e5,s100,>=1 9-mer overlap,0.9195989686014316,0.9353788133987806,0.8450132636177614,0.8372553566459512,0.6746232598926711,5
esm3_large,e5,s100,Exact 15-mer match,0.9071221708426618,0.9093814364180567,0.8120425855802653,0.8249322193327062,0.649405993148185,5
esm3_large,e5,s100,No 9-mer overlap,0.8987881674632934,0.9965436136106103,0.9688541955784027,0.9405508798775823,0.3356675254528211,5
esm3_large,e5,s100,Overall,0.928438803135011,0.9514108164277045,0.8673943184416515,0.8484240569159496,0.6915489228001631,5
esm3_large,e5,s128,"9-mer overlap, not exact",0.9348567265518817,0.985819406481258,0.9407156472257545,0.9005159071367153,0.6323243254143314,5
